texts,labels,target,target_index,
"No , no , no , Cindy ! Bite your tongue ! First of all , a cure for cancer could be a moment away . Say you do have recurrence or mets , life can often be prolonged in each case with treatment .",1,boat,146,
"Hi everyone . I had a lumpectomy performed last week , and my surgeon told me at the time that the sentinel lymph node was clean , which was a relief .",1,ride,140,
"Hi , my name is Carolyn and i am starting chemo on Dec 1 and I admit I am a bit freaked out ! I am trying to learn everything that I can about the treatment that I will have , TCH , which led me to this site .",1,ride,100,
"Hi everyone , Just checking on the CMF girls .",1,light,28,
I am 35 and I was diagnosed 11/2009 DCIS -LRB- stage 0 -RRB- had bilateral mastectomy 1/2010 after pathology came back found out I was stage IIIC then after pet scan I was diagnosed with mets to liver and left humerus 2/2010 -LRB- stage IV wtf -RRB- .,1,ride,127,
"Wow ! Thanks , everyone !!! Makes me feel much better and now I wish I had really smiled and said the H ** L with it all !! Oh well !!! Rachel , I ca n't wait to come back to NY - I do n't know when my next trip will be , I am angling to work the NY Boat Show in January , so I will let you know and we 'll definitely get together ! Janet , I am now 5ξ1/2 months post chemo - last chemo was April 23 , and with the three week blip with folliculitis , I 'm more like 4 months with the growth , but at least it is getting thick and is n't falling out - which is a good thing ! Yes , we 've been on the First Chemo Done boards together for a long time .",0,boat,62,
I have not posted here in a long time . I was diagnosed with stage IIB in 2005 and this discussion forum was my lifeline for several years after my diagnosis . My older sister was diagnosed with stage IIB in 2004 .,1,light,208,
"Jeano , good tip about the thyroid . . maybe I 'll have a test -LRB- if I can possibly make myself have another blood test -RRB- .",0,road,43,
Finally got my schedule . I was tatooed 2 weeks ago . I start 33 treatments on Monday . Of course no treatment on Thanksgiving or the day after .,0,roads,133,
"Thanks Sunny . I had a choice of rads to try to shrink the tumor which at the time they thought was 5-6cm , or go ahead and have mastectomy , Since the tumor was so close to my nipple and lumpectomy really was n't possible unless it shrunk considerably , I chose mastectomy .",1,ride,82,
Sounds like everyone is doing well . To answer what I got filled . On Tuesday I had my first fill on my tissue expanders .,1,road,104,
"I dont have much to offer , I 'm in the same boat .",1,boat,12,
"Sorry Swimangel to hear you are having a tough go of it . That flippin staph bug causes a lot of people problems , I dont think anyone knows how some people get it and others dont .",1,road,89,
"Lisa , the only thing I could really eat that tasted close to normal during Chemo was McDonald 's regular hamburgers .",0,light,89,
"Stef , I am so sorry to hear about your friend . I just hate to hear about young Mothers who suffer with this disease .",0,road,88,
Hi Jessica - so glad you found us ... no one should go through this alone ! Where are you getting treatment ? I am at Swedish .,1,ride,56,
Gosh I need to bitch ... I had my first MRI 2 weeks ago I am 1 year post lumpectomy and mamosite radiation along with Arimidex .,1,ride,114,
"Good morning all , Work has calmed down , so I can come and breathe and send a nice , long chatty note to all my fellow February chemo cruisers . Leah -- Buon viaggoio ! I love Italy ... I visited Venice and Florence one Christmas holiday season with my younger sister .",0,lights,230,
"I too had chemo before bilateral mastectomies.my Chemo was cytoxan and taxotere.By the 6th time i had had all i could take.I am 3 wks post mastecomy surgery , and yes , the expanders `` ache '' , i wont lie , but my main complaint is not being able to sleep on my stomach!I also take tamoxifan and the heat flashes at night keep me awake.By now you can imagine , it is hard to find the strength for any more battling , but i have to.Its always scary , every part of it , and then i say when one part is done-ITS DONE .",1,light,147,
"granny , I could not have done it , I always felt like I was in twilight zone and just really weird .",0,road,33,
"Great post . I am thankful for this site and the wisdom , wit and honesty I find here .",0,boat,63,
"I agree with mmm5 about the ovarian ablation being as or almost as effective as tamoxifen on its own . You had both , kind of like a `` back-up '' -- many women only get one or the other . My onc is looking at tamox only OR ovarian suppression -LRB- lupron -RRB- with an AI on me , leaning toward the latter .",1,light,263,
"I want to thank all of you , again , for your positive energy and well wishes . And , I have a bit if a problem that requires many heads . We saw the oncologist yesterday , who has presented us with possible treatment options , now that the bilat is complete and the staging is done . I have already rejected chemo as , given my cardiac health , going through that will risk more compromise to my heart muscle than benefit -LRB- only 6 % -RRB- me in protecting against recurrence .",1,boat,335,
"ginger - Nope , they are not temporary . Some women decline them for religious reasons .",0,light,47,
oh no ... . . you were missed ... ... i know what you mean too ... i was completely crushed after 4 beers on the boat ... .,0,boat,26,
I 'm in the same boat as you .,1,boat,5,
"Hello , Divas ! I jumped on the Femara train this weekend . As I have had really horrible se 's -LRB- and secondary se 's -RRB- from chemo -LRB- TC -RRB- and had to stop early , my doctor and I have agreed that I should start slowly and work my way up . So , I started by taking 1/2 pill on Friday , so as it 's Monday , have only had 2 full doses . Weird foot pain on Saturday night , but that could have been anything .",0,boat,350,
me1ani - I 'm so sorry you 've had to join our `` club '' - but you came to the right place for information and support .,1,ride,48,
"It will be a bad dream in a couple of months . The first 3 weeks were really hard for me after the lat flap , but it does get better , I promise !! I am 6 months out from surgery , and completely done -LRB- exchange 2 months ago -RRB- .",1,light,88,
"Aloha , everyone ! I was diagnosed after a fairly large excisional biopsy Dec. 7 . Results Dec. 15 . Totally unexpected for all . Had lumpectomy Feb. 5 . Went to a temporary med .",1,light,173,
"I believe this is my group to join , as I too am going to get my 1st treatment on Jan 5th .",1,road,83,
"Hello ladies . My mother was diagnosed with IDC 2 months ago . She had a lumpectomy . Tumor was not quite 2cm , stage 1 , grade 3 no node involvement triple positive ... what a mouth full .",1,boat,107,
I was diagnosed on 2/3/06 at age 49 - turned 50 in May 06 .,1,road,41,
You 're in a tough state of mind . You best just grieve like you are . Better I think then to keep it in . It 's impossible to imagine no nipples after years of nipples .,1,road,166,
"Trish , thank you so much for posting and providing encouragement for those of us newly on this road of cancer .",1,road,18,
"Caren ~ I will give arimidex an A okay for me . . even with hotflashes ... Once in awhile I experience fatigue but I , like someone else in these threads , know I can alleviate that issue with exercise .",0,boat,83,
"Hello Rad Sisters : I 've been going to my treatments faithfully for 9 treatments , feels like longer . It 's sort of annoying going everyday , but I lucked out and got on a trial where they now are giving me dble doses so instead of 33 treatments I get 16 , but there is a question mark about the boosts . Found out Thurs my margins were n't just close they are 1mm .",0,roads,307,
I read a thread on another site where a few of us with brain mets were discussing some bad news one of us posted .,1,boat,102,
Wow ... so many replies . Thank you all so much !!! I appreciate the information and the knowledge from the route you took .,1,road,121,
"I 'm not having recon next month , but Susan 's comments caught my eye .",1,boat,35,
"Ipohgirl : Glad you got the scary part behind you . Sorry you got hold of such a jerk . I guess there out there , but I was so fortunate I always had very nice ones . Treated me like family . On the dark mark yes it will be red then turn a sort of brown color .",1,train,203,
grneyd5600 I take Atavin every night before bed . It helps me sleep . During the day if I am having a `` moment '' I will take half a Xanax .,1,road,85,
"Linda , I do n't think I have formally introduced myself , so here goes . I am 54 today . I have 4 children , 38yr step daughter , 27yr . son , who is in nursing school , 26yr daughter and 23 yr son .",1,road,160,
"Thank you so much for all the information you have provided for gene testing . I was diagnosed with 3Negative Grade3 on Sept. 1st and I 'm pre-menopausal , so I need to know if I carry the gene .",1,road,151,
"Ferne - So sorry to hear that you will have to have radiation . But compared to TAC , it is a piece of cake !! My onc told me more than 4 positive nodes and radiation - I started rads 3 weeks post TAC . Its now going on 7 weeks since I finished . I saw the rad onc last week for my 6 week follow up and she discharged me - what a nice feeling to be free of one doctor .",1,road,286,
hey ladies . . think the biotin will work if i finished chemo six mos ago ? my hair is really thin on the top .,1,light,37,
"hi , i hope i dont need chemo . I did however hear that theres a pill you can take and not lose your hair ? I 'm just so tired of it all and want no treatment .",0,light,45,
Oh hello my beautiful lounge . I have n't been around since Junie accidently-on purpose knocked me in the pool .,0,light,55,
"peach , I am so sorry that you are finding yourself here , but you found a wonderful group of women to help you through all of this .",0,ride,70,
"Hi all , Sorry ... I have posted a few things in the Nola sept group thred . Well , I DID it .",1,road,76,
"My dr did n't recommend a bone scan at all and I even asked about it . -LRB- im not having any bone pain at this time -RRB- However , in your case I would definitely tell him your symptoms and see what he wants to do .",1,ride,133,
"Oh man , I was diagnosed in October 1009 . Honestly , I have stopped living . For real , I have gained about 70 pounds after disastrous chemo .",1,road,131,
Hi PMoore ... So sorry you had to join this club ... . I would think they will decide chemo later after an Oncotype DX test is done if you are node negative ... This test will show if you will benefit from chemo or not ... My score was 11 so no chemo for me ... I had DCIS grade 2 AND IDC grade 1 ... It also depends on the STAGE you are in ... .,1,road,165,
I had a Honda Rebel for first two years of diagnosis and treatment and then the Honda Shadow 750 since last year .,0,road,50,
"Thank u so much ladies ! it 's been awhile 4 me , bdmx , then chemo 22 sessions , and still , no energy , crying alot , and i hear how much this has affected HIM ! he tries hard , he was never the strong one in our relationship , but now omg ... .",1,light,120,
"jackieb11-I understand how you are feeling ! I had a right mastectomy on June 13th and had my last fill 3 weeks ago . Most of the time I had 100cc 's put in at one time and paid for the 3 to 4 day back , rib , and spine pain afterwards . Sometimes I could n't walk , sit or stand comfortably .",1,road,288,
To those going through the last of their chemos -- Like Lisa -- I am at the finish line cheering you on .,1,light,66,
"Thanks , Tender . Yes , this whole recurrence thing has been super stressful .",1,road,63,
My husband reckons he could have written your letter . He is 55 and a retired toolmaker and I am 47 and was a credit controller in a medical equipment company . I am now a housewife . I had my lumpectomy and the node thingie op 2 weeks ago and I am ready to take the Autovilla and set up home in a camping site in Nelspruit -LRB- Mpumalanga S Africa -RRB- near the hospital for the next 2 months rather that live with him and then have to drive 200kms round trip for radiation .,0,ride,353,
I 've been off the discussion group for a few months . I just wanted to focus on cancer a little less and live a little more .,1,light,71,
"Brand new to this forum , brand new to breast cancer . What a strange and surreal experience . I am so happy to have found a forum like this and wow so many questions answered . I am scheduled for lumpectomy next Wed , Feb 27.08 and frankly I feel totally overwhelmed by all the information thrown at me .",1,ride,244,
"Thank God I found this thread . I am 45 , premenopausal , diagnosed in April 08 , IDC , 1.5 cm , Stage IIa , grade 3 , 2/21 nodes , ER + , PR + , HER2 - .",1,road,95,
I 'm scheduled for mastectomy -LRB- left -RRB- in 2 weeks . I 'm hoping for the best regarding SNB results immediately afterward -LRB- frozen section -RRB- .,1,ride,62,
"I know there is some really bad info on the ` net , but telling us to stay off the ` net is so NOT the way to go -- they should teach us how to recognize a reputable site from a quack site , and they need to understand how valuable and helpful it is to ` talk ' with other women in the same boat .",1,boat,66,
"So , my DH has spent the past 3 days looking for the Christmas tree lights and has been annoyed at the college boys for not putting things away where they belong .",0,lights,15,
I am early stage and on hormonals . I was premeno and even went on Lupron during chemo to protect my ovaries because hubby and I wanted a baby . All that went out the window when I came back a poor Tamox metabolizer and had to have the ovaries out . I guess I could have said no but I have come this far with treatment so I decided to go the distance with it .,1,road,305,
"Hi ! Karen4u and jays mom , in our region neither rain nor cool . Its moderate and pleasant but during rainy season in June , July its horrible .",0,light,115,
marlegal and meece -- thanks for the info regarding how rads changes your breast . I have been concerned because this is my second lump on my left breast and it is smaller than the right . I am not very large to begin with .,1,road,214,
"Okay Ladies , I have been scrolling through all of your postings trying to get a grasp of what 's to come for me .",1,ride,36,
"Hi . Its me , Keryl .",1,boat,15,
"Sara , darn ! Sorry I will miss you . You 'll be driving in and I 'll be leaving Monday august 3rd ... WOW - next wkend ! Getting my next wkend tourist itenerary sorted out w / my question list for consult appts on monday .",1,light,63,
Just finished # 6 of 12 .,1,light,17,
"Hello Ladies , I was just diagnosed this past week - stage 1 possibly 2 in the left breast . I have chosen mastectomy over lumpectomy simply for my own peace of mind . My surgery is scheduled for Dec. 9 , with immediate recon , but i 'm so back and forth about what recon to have - I have n't been able to tell my surgeon a def decision yet .",1,road,185,
Hi,1,road,90,
"I too experienced what you are talking about , and my councilor said that these feelings are normal , that everyone that goes through this has a short period of clinical depression.My visiting nurse kept telling me that my incisions were the best she has ever seen and that after they exchange my expanders for silicone implants that i will be the envy of all my friends!But all i saw was a `` train wreck '' as i called it-i would cry at the drop of a hat , and it didnt help thatim sleep deprived because im a belly sleeper and that just isnt happening right now obviously.Hang in there , it passes , now im into the `` this is itchy , i want to sleep on my belly , and why didnt i just skip recon-but this will pass too , and ill be happy again .",1,train,73,
"darCRAIG . . since i got so beat up from ht . . i quit . got lots of good advise from dr/therapist at breast centre here , the onco/chemo team agreed with me .",1,light,119,
WLL sorry i did not answer you questions but i forget which sites i have been on must be chemo brain . i did work all thru chemo and the probiotics are the things they are now advertising in yogurt and some other products like activia but i get mine in capsule form at any health food store that way you do n't get the sugar from the yogurt .,1,light,136,
LOL Luann ! Your comments about Xeloda and then back to a hormonal are EXACTLY what the onc said ... gon na start calling you DR. Luann ! I am leaning toward Xeloda for many reasons .,1,train,75,
"OK , I 'm officially bummed out and my treatment plan is changing . I had my mastectomy on November 26 , and the biopsy differed from my original .",1,light,69,
"I had immediate reconstruction after my mast in ' 96 , and a year later , I had to have the implant removed due to scar tissue encapsulating the implant and my incision tearing open -LRB- I felt like the implant would explode out of my chest ! -RRB- .",0,light,146,
I know EXACTLY how you are feeling and am so sorry you have to be here . My mom was recently diagnosed with stage IV inflammatory breast cancer and just to add a slight complicarion ... LEUKEMIA .,1,light,79,
"I was just diagnosed with DCIS , right breast , on May 20th . I had to wait 10 days before my biopsy since I was taking aspirin daily . My surgeon then sent me for further testing , genetic and MRI . Genetic is not back yet -LRB- my mother had ovarian and breast cancer -RRB- .",1,road,209,
"I think I have decided not to have a reconstruction . I will probably just have my mastectomy scar tidied up . However , I would like to ask this question : If I DID decide to have a reconstruction and had my other breast `` adjusted '' to achieve symmetry , would I lose any sensation ? My remaining breast remains a very important erogenous zone for me and my partner and I would hate to achieve symmetry at the expense of sensation .",1,light,108,
"Yesterday , a group of us got together for a ride in a local state forest .",0,ride,10,
"Dear Roberta , Remember you are a survivor on the day that you are diagnosed .",1,road,41,
Hi Lilah - I had mastectomy shortley after lumpectomy because they did n't get clear margins and doc could n't give me better than 50/50 that another lumpectomy type surgery would get it all .,1,ride,52,
The nicest thing a good friend did for me was just go to some of my early Dr.appointments with me .,0,ride,47,
"Hi , I 'm new here . Reading everyone 's story is amazing ! I realize as I 'm starting this journey of lifelong treatment that there are so many incredible women out there who are so much farther down this wild road and doing well ... I think we need our own `` survivor '' show ! Here 's my story so far : Diagnosed in nov '09 with myelofibrosis , a serious bone marrow disease , frequent blood transfusions , low platelets .",1,road,42,
ne,1,road,11,
"I 'm six year out from chemotherapy , and on year 51/2 of hormone therapy -LRB- 41/2 of Arimidex -RRB- .",1,road,97,
"Yes , I would do the chemo and whatever my Dr. recommends ... ... I am TN and I have to do 6 chemo treatments and Rads ... .",1,road,68,
Rachel ~ I agree so much with everyminutes post . We were diagnosed the same month and year and here it is 2 years later . I found a lump and my GYN MD found a second one in the other breast .,1,road,164,
"I am sitting here responding to this thread while wearing my Jazz Reid Sleeves . Anyway , I do n't think my le has really affects anyone but me .",0,rides,140,
"My dog Wolfie stepped on my breast , it hurt so bad , it felt around , and found a lump . About a month , prior to Wolfie 's stomp , I had my second notice , for a mammogram , so I made the appointment .",0,road,158,
"valc : I know how you feel - I have only recently had a second reconstruction surgery to correct my non symetrical chest . . I had a bi-lateral and the ps screwed everything up ! I looked like an abstract painting until the recent surgery to correct the reconstruction . I wo n't mislead you , having the corrective surgery does n't make everything `` alright '' , but I do see myself smile more and feel more `` normal '' than I have since my dx in Jan of 2007 . . This if f ___ king hard ! More difficult than it needs to be I think - if only when the doc 's first dx us we were assigned a psychologist along with our other consultants .",1,light,542,
Thanks Alymarie and Donalee for thinking of me .,1,road,38,
"just a thought here ... I had a decent sized lumpectomy , then 7 weeks of radiation which did shrink my breast somewhat . I had to wait a year before considering reconstruction .",1,road,121,
I had my 3rd rad treatment Friday .,1,boat,26,
"I , too , was diagnoised with paget 's disease -LRB- age 37 -RRB- i just had a masectomy and snb on mon. . thank goodness everything went well and my path reports came back good . they were able to get it all so i am now cancer free .",1,road,229,
I asked because I am currently taking tamoxifen and I had a very large tumor 10.6 x 8.4 x 4.1 cm with 7 of 22 positive nodes and extra nodal extension.I am one year from diagnosis .,1,road,113,
"The way it was explained to me , PET scans pick up osteolytic lesions better and bone scans pick up osteoblastic lesions better .",0,light,52,
"Melody this whole thing is really terrible , I was diagnoised when I turned 30 2 small children and my whole life was turned upside down .",1,road,119,
"I took off work only the Wed , Thurs , Fri of the week I received chemo . I had 4xtc every 3 weeks so I missed 12 days for the chemo . that worked great for me , but after each I was more exhausted by the end of the work weeks when I worked a full week .",0,ride,156,
"My situation is not really the same as yours , but I chose no radiation . I had a diagnosis of DCIS -- on left breast in July '08 - this was after a digital mamm which showed a cluster of microcalcifications followed by a lumpectomy/surgical excision .",1,road,152,
"Liz , My husband loves my foobs because he loves me .",0,light,36,
hey emma ... i am feeling the same way going into today ... my last day of `` chemo break thru '' because monday at 9am its round 3 ... and just knowing hoe the next 11 daysa will play out for me is really really hard emotoionally ... the look on phil 's face when he sees how sick i am by day 4 and that same sickness and same look on his face going into next weekend and the following days until that break thru finally happens .,1,ride,138,
"Copied from HELP ! Our 10 yr old has bc Hello , ladies ... Just wanted to give you an update from Hannah 's Nana ... First off , Nana sends many many hearfelt thanks to all you wonderful ladies here at BCO ... .",0,train,167,
"Salwa , I did n't have radiation because I had mastectomies . I had too many tumors so nothing else could be done . I 'm Er/Pr positive , HER negative . 7 lymph nodes were taken , -LRB- 3 from one side , 4 from the other -RRB- , and only 1 was positive .",1,ride,195,
The info I read online was 3-6 months . But the shortest one I found said 2 months . I 'm small too and need augmentation on the contralateral side to match up .,1,light,140,
"http://www.healthfreedom.info/Cancer%20Essiac.htm The Truth About Essiac Rene Caisse and her Herbal Cancer Treatment , ESSIAC Authentic , Original Essiac Tea Formula Documentation On a fateful day in 1922 Canadian nurse Rene Caisse happened to notice some scar tissue on the breast of an elderly English woman . The woman said that doctors had diagnosed her with breast cancer years before . However , the woman did n't want to risk surgery nor did she have the money for it . The English woman had met an old Indian medicine man in the 1890s who told her that he could cure her cancer with an herbal tea . The woman took the medicine man 's advice , and consequently she was still alive nearly thirty years later to pass on this herbal remedy to Nurse Caisse . About a year later , Rene Caisse was walking beside a retired doctor who pointed to a common weed and stated : `` Nurse Caisse , if people would use this weed there would be little cancer in the world . '' Rene later stated : `` He told me the name of the plant . It was one of the herbs my patient named as an ingredient of the Indian medicine man 's tea ! '' -LSB- I Was Canada 's Cancer Nurse -RSB- The `` weed '' was sheep sorrel . In a 1974 letter to Dr. Chester Stock Rene Caisse stated : `` Who in the world would ever think to find a solution to cancer in a common meadow ? '' -LSB- THE ESSENCE OF ESSIAC , p. 127 -RSB- In 1924 she decided to test the tea on her aunt who had cancer of the stomach and was given about six months to live . Her aunt lived for another 21 years , cancer free . Rene Caisse -LRB- pronounced `` Reen Case '' -RRB- later gave the tea to her 72-year old mother who was diagnosed with inoperable cancer of the liver , with only days to live . Her mother recovered and lived without cancer for another 18 years . In the ensuing years Nurse Caisse refined and perfected the original `` medicine man 's '' formula . She tested various herbal combinations on laboratory mice and on human cancer patients . She eventually reduced the tea to four herbs : burdock root , sheep sorrel , slippery elm and turkey rhubarb . She called the formula Essiac , which is her surname spelled backwards . -LSB- Read `` I Was Canada 's Cancer Nurse '' for more details . -RSB- Rene Caisse devoted over fifty years of her life to treating hundreds of cancer patients with Essiac . So effective were her treatments that in 1938 her supporters gathered 55,000 signatures for a petition , amongst other petitions , to allow Rene Caisse to continue treating cancer patients . A bill was introduced in the Ontario legislature to -LRB- allegedly -RRB- `` authorise Rene Caisse to practice medicine in the Province of Ontario in the treatment of cancer and conditions therein '' . Due to the machinations of the medical establishment , the bill failed to pass by just three votes . However , Rene Caisse made her views known regarding this bill which would set up the `` Royal Cancer Commission '' to investigate all possible cancer cures . She told the press : `` The people of Ontario will be paying a group of men to develop something that was developed and discovered 15 years ago . I have developed and proven a cure right here in Bracebridge , and I am running a clinic where hundreds of cancer sufferers are being treated and helped . Why then should I be asked to give my formula over to a group of doctors who never did anything to earn it ? '' -LSB- CALLING OF AN ANGEL , p. 59 .",1,light,3442,
"Good Morning Jewels , Again , I am amazed at all that 's been posted since yesterday ... KathyL and SheShe48-Shocking that a pediatrics office-an office that deals with medicine - can be so discompassionate to one of its own nurses . SheShe48-same to you ... a BC Survivor fired you ? I do n't think that 's even legal ... firing someone on the spot for disclosing they were diagnosed with cancer .",1,boat,240,
"Hello ladies ! I got a fill yesterday of 120cc 's so now I am 380 out of 500 . My fills will be done on Sept 23rd -LRB- 2 more to go -RRB- and then he said exchange to gummies will be in December , the week before Christmas .",1,light,109,
"P.S. Holly , is n't it funny that , probably because we kept half our hair , most people think we look `` soo goood '' after doing chemo ? I get that too and on one hand , it is great and am thankful for keeping some hair , on the other hand it is a little weird because people just do n't realize that we have been through the ringer .",1,ride,137,
I agree - best to let them know so we can help spare the next person -LRB- and us ! -RRB- .,1,light,64,
"OK , I 'm joining you all on the Tamoxifen train .",1,train,10,
"Hi everyone-was reading some posts last night around midnight . There have been a few people that are on the same regimen as I am that have posted day 14 is the day their hair started coming out . I pulled on my hair , sure enough-big clump . Had me feeling weird-not upset really , I knew it was inevitable and my hair is short anyway , so I do n't think it 's going to bother me to be bald -LRB- who knows though huh ?! -RRB- .",0,light,272,
"Hi everyone from the Arctic Circle !!! -- It sounds like everyone survived Christmas and it 's on to New Year 's Eve tomorrow . So the last time I checked in was the 22nd . Here 's why ------ That night the water went off in our house . I walked back behind the shelterbelt -LRB- trees around our house -RRB- and tried to get the lid off the well house pit so I could climb in there and see what was going on . AS IF I would even know , but I did take a little meter with me to check the power , but it was all for naught because I could n't get the lid off . So I called the guy that works on the wells and he said he could come out the 23rd and see what was up .",0,road,563,
Mastectomy is such a drastic choice ... if it were me I would try tamoxifen and be monitored - if things progress then you still have the option of mastectomy down the road ... .,1,road,32,
I am 47 and just had bilateral mast with immediate saline implants on May 7th .,1,road,26,
"This site is amazing . I thought I was finished with everything , the surgeries , the chemo , even adjusting to the tamoxifen .",1,train,38,
"rachel - Thanks for the support and the caring . I can tell what a caring person you are - it shows . I bet your a great teacher , your students are lucky to have you .",1,light,106,
LuAnn makes a great point to encourage your posts on the lobular thread . Many sisters post actively and there is an expert named Matix who regularly addresses questions .,1,light,154,
I 'm way at the beginning 3 months since dx . Your success stories are very inspiring .,1,ride,51,
"Hi , Vicki ... As you know , I had a bilateral IGAP this past June . When I had my bilateral mastectomies in 04 , I tried expanders but had issues with them after radiation and one failed -LRB- left a stupid HOLE in my chest ! -RRB- . I am tall -LRB- 6 ' 2 '' -RRB- with an athletic build , so I did n't have much spare belly fat for a DIEP and with the athletics , I did n't want to have muscle moved or manipulated -LRB- so TRAM and Lat flaps were out -RRB- .",1,light,332,
"@ Shellie - vent all you want sweetie . I cried for the first few weeks , I think everyone should at some point . Nobody wants this . It was n't what we signed up for . And the chemo sucks ! I found out a long time ago I was n't in charge anymore and had to start letting others do for me .",1,light,169,
Hi I am finishing tests this week and then will be starting chemo . I do n't have an exact date . I will be getting A/C x 4 every 2 wks . Then T/H . x 4 every 2 wks . Then radiation .,1,road,178,
Do whatever `` floats your boat '' .,1,boat,5,
"Hi again , Wow , I ca n't believe all the great responses , including those who mentioned the dreaded metastisizing -LRB- I do n't think that 's spelled right -RRB- .",1,boat,139,
"Hi , I am happy to see everyone having minimal side effects of xeloda , I will be starting the first week of sept. .",1,ride,50,
"Wow ! This topic is so interesting ! I just finished TC 6 weeks ago , and I have felt like my night driving has been affected -- seeing starburst patterns from oncoming lights , and just having a harder time seeing in the dark -- to the point where I 'm reluctant to drive at night .",0,lights,33,
"Thanks for the reply , Susan .",0,light,17,
"thanks for the reply , good luck on the 26th ! Sometimes I feel so selfish thinking , this is almost over for me .",1,light,38,
I did 4/AC treatments and have had 2 of 12 Taxol ... in the right light you can see a LOT of whispy 1/8 in .,0,light,15,
"Chemo Amazon Violet7 here :-RRB- I have my regimen , but I 'm certain to mispell the drug names because I 'm not ready to look them up yet .",1,road,117,
"So when SS tells breast cancer patients , or any cancer for that matter , that `` chemo will kill you '' , is that not `` black or white '' . I think Dawn was correct in her assesment that 2 women with the exact same dx could react to treatment in totally different ways ... which is exactly why it is dangerous for someone in Suzanne Somers ' very public position to say that chemo WILL kill you .",1,train,141,
"Hi , everyone - figured I 'd better get joined up with you all so I do n't get left in the dust on the weight loss / fitness race -LRB- or since we 're all still recovering , we 'll make it a slow trot or walk -RRB- .",0,ride,158,
I am suffering terribly from side effects on Caelyx . I have been on chemo for nearly 1ξ1/2 years and nothing has put me into a remission for bones and liver mets .,1,boat,86,
I also sent my surgeon a note down the road from my surgery to thank him for his kindness .,1,road,9,
"thanks , ladies , for your support ... today is a little better . will be having pet scan onward and upward . . that was scheduled before i got mrsa .",1,light,110,
"Hello . I just found this site . I had 2 surgeries , April and July , finished radiation October 2 . I noticed some pulling under my arm and armpit area .",1,light,134,
"Brenda , So glad to hear you are doing well and that the drains came out . I am a little behind . I have started the radiation and I haven ; t had as much time lately .",1,road,155,
"Hi there . I was a stage IIIa , diagnosed three years ago . At the time I only had the cancerous breast removed -LRB- then chemo and radiation -RRB- .",1,road,140,
"Maybe these are dumb questions , but I 'm curious about how many of you have implants that actually feel soft and pliable ? Did they feel that way from the beginning or did it take some time ? I 'm 6 months down the road from my 2nd implant surgery and only remember softness for a couple of weeks after this one was placed -LRB- the first one was firm from the beginning -RRB- .",1,road,45,
"Christy , I am so glad the transfusions are helping .",1,light,28,
I was kind of happy and kind of sad about it . He agrees that the strength of taxatere and carbo are to strong for me . My platlet counts are down . OK so 3 weeks ago I had tx and the following week I had blood work and they said my platlets were 26 thousand and the following week they went up to 34 thousand and this week they dropped back down to 26 thousand so how did they do that ? My wbc and rbc are down to .,1,road,298,
Hey kids - I had a kinda yucky day . My stomach has been cramping like I 've eaten something too spicy . I have been in bed or on the couch all day . I also went to gloomy-town today . I ca n't remember who posted about depression but I 've been like a cry baby all day .,1,boat,265,
I had the almost same thing happen to me . I was not feeling good about my oncologist .,1,boat,80,
"hey laddies . . i 'm done treatment , and found i was worrying too much `` stinkin thinkin '' some call it . it got real bad with a.l.s and ii have stopped them . my breast care centre offers a couselor who 's new , from Mt Sainia , and i 've begun seeing him .",1,light,232,
"hey ladies , i developed bad neuropathy in my right hand the dominant 1 , of course , well after 5 mos . out of chemo . . taxotere related , they 're sure . just like someone said , this hand feels like a club most days .",1,light,177,
"Hello fellow sufferers , both current and past . I wanted to find out who of you is or has turned pink with your radiation during your first or 2nd week .",1,road,108,
I had chemo before and after surgery . I am HER2 + and was able to get into a clinical trial before suregery .,1,light,53,
Hi Debbie - I 've been on Navelbine for four weeks now . I get Navelbine once a week on Tuesdays with no breaks .,1,road,89,
"I had my port put on on Feb 25 , A week later we went on a vacation before the start of my chemo on March 24 .",0,road,65,
"Hi , I was diagnosed one month before turning 47 . The ultrasound showed it was small -LRB- 8 mm -RRB- and so I thought this was not going to be a big deal , lumpectomy and rads . I met with my BS on Nov 5 , 2009 and I immediately knew he did n't think it was no big deal .",1,road,198,
"oh to make my day a story in itself . On my way home from chemo . -LRB- I take treatments 40 miles away both ways -RRB- My car breaks down on the side of the highway , Luckly two guys who were in a uhaul moving from columbia to Moberly was right behind me .",0,road,138,
"Hi all ! Today was # 3 rad and all is well so far ! My spirits are a little better today ... I think I am still in shock by this diagnosis still !!!! Joey Anne , you and I are so alike in many ways ! Most of the thinks you write aremy thoughts exactly ! I was told about the same thing in terms of lotions etc. .",0,light,101,
"Femme - one more thought - although implants may be a `` faster '' route to breast recon than flaps , they often cause infections and scar tissue build-up which then needs more surgery -LRB- as you 've already been through -RRB- .",1,ride,75,
"Hi , this is my first post but I 've been reading different discussions since my diagnosis and appreciate all the advice and kind words shared . I am 48 , married , no kids , no family history and some days I 'm still shaking my head over my diagnosis and wondering how I got here .",1,road,168,
I was diagnosed with stage 3 cancer in March and my daughter is getting married in Jamaica in three weeks .,0,ride,62,
